"id_product";"reference"
1;"1713011007"
2;"1713011008"
3;"1713011004"
4;"1713011009"
5;"1713011094"
6;"1713011095"
7;"1713011096"
8;"1713011097"
9;"1713011098"
10;"1713011099"
11;"1713011014"
12;"1713011015"
13;"1010821013"
14;"1010831022"
15;"1010831023"
16;"1010831024"
17;"1010821006"
18;"1010821005"
19;"1010831006"
20;"1010831007"
21;"1010831008"
22;"1010831009"
23;"1010821007"
24;"1010831010"
25;"1010831011"
26;"1010821004"
27;"1010831003"
28;"1010831004"
29;"1010831005"
30;"1010321009"
31;"1010331013"
32;"1010331036"
33;"1010331075"
34;"1010321012"
35;"1010331016"
36;"1010331039"
37;"1010331078"
38;"1010331034"
39;"1010331073"
40;"1010321011"
41;"1010331015"
42;"1010331038"
43;"1010331077"
44;"1010321015"
45;"1010331019"
46;"1010331042"
47;"1010331081"
48;"1010321017"
49;"1010331021"
50;"1010331044"
51;"1010331061"
52;"1010331067"
53;"1010331083"
54;"1010321035"
55;"1010331059"
56;"1010331065"
57;"1010321010"
58;"1010331014"
59;"1010331037"
60;"1010331076"
61;"1010321016"
62;"1010331020"
63;"1010331043"
64;"1010331082"
65;"1010321018"
66;"1010331022"
67;"1010331045"
68;"1010331084"
69;"1010321033"
70;"1010321030"
71;"1010331023"
72;"1010331046"
73;"1010331085"
74;"1010321086"
75;"1010331245"
76;"1010331246"
77;"1010331247"
78;"1010321085"
79;"1010331100"
80;"1010331101"
81;"1010321148"
82;"1010221009"
83;"1010231011"
84;"1010231031"
85;"1010231063"
86;"1010231010"
87;"1010231030"
88;"1010231062"
89;"1010221008"
90;"1010221010"
91;"1010231012"
92;"1010231032"
93;"1010231064"
94;"1010221012"
95;"1010231014"
96;"1010231034"
97;"1010231066"
98;"1010221013"
99;"1010231015"
100;"1010231035"
101;"1010231067"
102;"1010221014"
103;"1010231016"
104;"1010231036"
105;"1010231068"
106;"1010231094"
107;"1010221077"
108;"1010231093"
109;"1010231095"
110;"1010231017"
111;"1010231050"
112;"1010231056"
113;"1010231037"
114;"1010231069"
115;"1010231018"
116;"1010231051"
117;"1010231057"
118;"1010231038"
119;"1010231070"
120;"1010221011"
121;"1010231013"
122;"1010231049"
123;"1010231055"
124;"1010231033"
125;"1010231065"
126;"1010231113"
127;"1010221027"
128;"1010231114"
129;"1010231115"
130;"1010231116"
131;"1010231117"
132;"1010221028"
133;"1010231118"
134;"1010231081"
135;"1010231082"
136;"1010231083"
137;"1010231084"
138;"1010231085"
139;"1010031051"
140;"1010021018"
141;"1010031014"
142;"1010031028"
143;"1010031008"
144;"1010031022"
145;"1010031045"
146;"1010021008"
147;"1010021014"
148;"1010031011"
149;"1010031025"
150;"1010031048"
151;"1010031037"
152;"1010031041"
153;"1010021034"
154;"1010021017"
155;"1010031013"
156;"1010031027"
157;"1010031050"
158;"1010031038"
159;"1010031042"
160;"1010021035"
161;"1010021009"
162;"1010031009"
163;"1010031023"
164;"1010031046"
165;"1010021011"
166;"1010031010"
167;"1010031024"
168;"1010031047"
169;"1010021012"
170;"1010021030"
171;"1010021032"
172;"1010021036"
173;"1010021015"
174;"1010031012"
175;"1010031026"
176;"1010031049"
177;"1010021174"
178;"1010031371"
179;"1010031372"
180;"1010031373"
181;"1010021180"
182;"1010031387"
183;"1010031388"
184;"1010031389"
185;"1010021049"
186;"1010031084"
187;"1010031085"
188;"1010031086"
189;"1010031111"
190;"1010021053"
191;"1010031112"
192;"1010031113"
193;"1010031114"
194;"1010031115"
195;"1010021079"
196;"1010031156"
197;"1010031157"
198;"1010031158"
199;"1010021083"
200;"1013911004"
