"id_product";"reference";"id_manufacturer";"id_category"
7813;"47415066";1;23
6765;"1513011119";1;23
6766;"1513011120";1;23
6767;"1513011121";1;23
6768;"1513011122";1;23
6769;"1513011123";1;23
8278;"932";1;23
6672;"1510811012";2;23
6811;"1172183258";3;23
6812;"1172183259";3;23
8546;"40100066K";3;23
8664;"1172183258";3;23
8665;"1172183259";3;23
7207;"JE1074";3;23
8630;"JE1083";5;23
7814;"40100270";5;23
7815;"40100271";5;23
7816;"40100280";5;23
7817;"40100281";5;23
7818;"40100299";5;23
7819;"40100298";5;23
7820;"40100052";5;23
7821;"40100053";5;23
7822;"40100275";5;23
7823;"40100276";5;23
7824;"40100288";5;23
8545;"5010000001";5;23
8656;"5010009401";5;23
8657;"5010009402";5;23
8658;"5010008801";5;23
8659;"5010008802";5;23
6673;"9000853";1;23
1390;"1513011071";1;23
1492;"1513011026";1;23
1493;"1513011112";1;23
1494;"1513011027";1;23
1495;"1513011113";1;23
1496;"1513011028";1;23
1497;"1513011114";1;23
1498;"1513011029";1;23
1499;"1513011115";1;23
1500;"1513011030";1;23
1501;"1513011116";1;23
1502;"1513011065";1;23
1503;"1513011117";1;23
1504;"1513011031";1;23
1505;"1513011118";1;23
6441;"1513011151";1;23
6442;"1513011153";1;23
6443;"1513011155";1;23
6482;"40100010";1;23
6483;"40100020";1;23
6484;"40100021";1;23
6485;"40100046";1;23
6486;"40100054";1;23
6487;"40100055";1;23
6488;"40100056";1;23
6489;"40100057";1;23
1418;"1513011011";1;23
1423;"1513011041";1;23
1464;"1513011018";1;23
1465;"1513011100";1;23
1466;"1513011072";1;23
1467;"1513011101";1;23
1468;"1513011019";1;23
1469;"1513011102";1;23
1470;"1513011073";1;23
1471;"1513011103";1;23
1865;"1513011076";1;23
1866;"1513011078";1;23
1867;"1513011079";1;23
6343;"1513011078";1;23
6476;"47415062";1;23
6477;"47415063";1;23
6478;"47415064";1;23
6479;"47415065";1;23
6480;"47415060";1;23
6481;"47415061";1;23
1419;"1513011013";1;23
1420;"1513011015";1;23
1421;"1513011016";1;23
1422;"1513011017";1;23
1476;"1513011021";1;23
1477;"1513011104";1;23
1478;"1513011022";1;23
1479;"1513011105";1;23
1480;"1513011023";1;23
1481;"1513011106";1;23
1482;"1513011063";1;23
1483;"1513011107";1;23
1484;"1513011064";1;23
1485;"1513011108";1;23
1486;"1513011024";1;23
1487;"1513011109";1;23
1488;"1513011025";1;23
1489;"1513011110";1;23
1490;"1513011075";1;23
1491;"1513011111";1;23
1506;"1513011036";1;23
1507;"1513011145";1;23
1508;"1513011037";1;23
1252;"1513011074";1;23
1472;"1513011020";1;23
1293;"1510811006";2;23
1294;"1510811007";2;23
1295;"1510811008";2;23
1296;"1510811009";2;23
6669;"1513011165";2;23
6588;"1513011165";2;23
1289;"1510311027";3;23
1290;"1510311042";3;23
1291;"1510311028";3;23
1292;"1510311043";3;23
1297;"1510311000";3;23
1298;"1510311001";3;23
1299;"1510311002";3;23
1300;"1510311003";3;23
1301;"1510311031";3;23
1302;"1510311032";3;23
1303;"1510311033";3;23
1304;"1510311034";3;23
1305;"1510311058";3;23
1306;"1510311059";3;23
1307;"1510311060";3;23
1308;"1510311061";3;23
1309;"1510311069";3;23
1310;"1510311070";3;23
1311;"1510311071";3;23
1312;"1510311072";3;23
1313;"1510311073";3;23
1314;"1510311074";3;23
1315;"1510311075";3;23
1316;"1510311076";3;23
1317;"1510311077";3;23
1318;"1510311078";3;23
1319;"1510311079";3;23
1320;"1510311080";3;23
1414;"1510311010";3;23
1415;"1510311025";3;23
1416;"1510311011";3;23
1417;"1510311026";3;23
1424;"241510311029";3;23
1425;"241510311030";3;23
1452;"1510311012";3;23
1453;"1510311044";3;23
1454;"1510311013";3;23
1455;"1510311045";3;23
1456;"1510311015";3;23
1457;"1510311046";3;23
1458;"1510311016";3;23
1459;"1510311047";3;23
1460;"1510311017";3;23
1461;"1510311048";3;23
1462;"1510311018";3;23
1463;"1510311049";3;23
1257;"1510311053";3;23
1258;"1510311054";3;23
1255;"1510311050";3;23
1256;"1510311051";3;23
1259;"1510311067";3;23
1260;"1510311062";3;23
1261;"1510311065";3;23
1262;"1510311081";3;23
1473;"1510211007";4;23
1475;"1510211009";4;23
8193;"504000007";4;23
1253;"504000009";4;23
1254;"1510211024";4;23
6475;"1510211025";4;23
1474;"1510211008";4;23
1594;"1513011138";30;23
1595;"1513011139";30;23
1598;"1513011142";30;23
1599;"1513011143";30;23
1596;"1513011140";30;23
1600;"1513011144";30;23
1597;"1513011141";30;23
1592;"1513011136";30;23
1593;"1513011137";30;23
1263;"1510011001";5;23
1264;"1510011167";5;23
1277;"1510011002";5;23
1278;"1510011168";5;23
1279;"1510011003";5;23
1280;"1510011169";5;23
1281;"1510011004";5;23
1282;"1510011170";5;23
1283;"1510011005";5;23
1284;"1510011171";5;23
1285;"1510011006";5;23
1286;"1510011172";5;23
1287;"1510011007";5;23
1288;"1510011173";5;23
1321;"1510011014";5;23
1322;"1510011019";5;23
1323;"1510011137";5;23
1324;"1510011101";5;23
1325;"1510011199";5;23
1326;"1510011102";5;23
1327;"1510011200";5;23
1328;"1510011017";5;23
1329;"1510011135";5;23
1330;"1510011136";5;23
1331;"1510011011";5;23
1332;"1510011009";5;23
1333;"1510011134";5;23
1334;"1510011013";5;23
1335;"1510011015";5;23
1336;"1510011012";5;23
1337;"1510011010";5;23
1338;"1510011008";5;23
1339;"1510011018";5;23
1340;"1510011023";5;23
1341;"1510011016";5;23
1342;"1510011024";5;23
1343;"1510011192";5;23
1344;"1510011193";5;23
1345;"1510011194";5;23
1346;"1510011195";5;23
1347;"1510011201";5;23
1348;"1510011202";5;23
1349;"1510011271";5;23
1350;"1510011272";5;23
1351;"1510011105";5;23
1352;"1510011133";5;23
1353;"1510011020";5;23
1354;"1510011107";5;23
1355;"1510011103";5;23
1356;"1510011021";5;23
1357;"1510011022";5;23
1358;"1510011104";5;23
1359;"1510011127";5;23
1360;"1510011128";5;23
1361;"1510011129";5;23
1362;"1510011130";5;23
1363;"1510011196";5;23
1364;"1510011197";5;23
1365;"1510011198";5;23
1366;"1510011265";5;23
1367;"1510011266";5;23
1368;"1510011267";5;23
1369;"1510011268";5;23
1370;"1510011269";5;23
1371;"1510011270";5;23
8283;"1510011289";5;23
8284;"1510011290";5;23
8285;"1510011291";5;23
8286;"1510011292";5;23
8736;"1510011263";5;23
1391;"1510011025";5;23
1392;"1510011119";5;23
1393;"1510011026";5;23
