"id_product";"reference";"id_manufacturer";"id_category"
5;"1713011094";1;26
6;"1713011095";1;26
1785;"1713011046";1;26
1786;"1713011047";1;26
1787;"1713011048";1;26
1788;"1713011049";1;26
1789;"1713011050";1;26
1790;"1713011051";1;26
1791;"1713011052";1;26
1792;"1713011053";1;26
1793;"1713011054";1;26
1794;"1713011055";1;26
1795;"1713011056";1;26
1796;"1713011057";1;26
1797;"1713011058";1;26
1798;"1713011059";1;26
1799;"1713011060";1;26
1800;"1713011061";1;26
1801;"1713011062";1;26
1802;"1713011063";1;26
1803;"1713011064";1;26
1804;"1713011065";1;26
1805;"1713011066";1;26
1806;"1713011067";1;26
1807;"1713011068";1;26
1808;"1713011069";1;26
1809;"1713011070";1;26
1810;"1713011071";1;26
1811;"1713011072";1;26
1812;"1713011073";1;26
1813;"1713011074";1;26
1814;"1713011075";1;26
1815;"1713011076";1;26
1816;"1713011077";1;26
1817;"1713011078";1;26
1818;"1713011079";1;26
1819;"1713011080";1;26
1820;"1713011081";1;26
1821;"1713011082";1;26
1822;"1713011083";1;26
1823;"1713011084";1;26
1824;"1713011085";1;26
1825;"1713011086";1;26
1826;"1713011087";1;26
1827;"1713011088";1;26
1828;"1713011089";1;26
1829;"1713011090";1;26
1830;"1713011091";1;26
1831;"1713011092";1;26
1832;"1713011093";1;26
1833;"1513011069";1;26
1834;"1713011100";1;26
1835;"1713011101";1;26
1836;"1713011102";1;26
1837;"1713011103";1;26
