"id_product";"reference";"id_manufacturer";"id_category"
6868;"T-B3330";2;18
6869;"T-B3390";2;18
6958;"B2170-110B";2;18
6959;"B2240-100B-OS";2;18
6960;"B3040-45B-MA";2;18
6961;"B3040-65B-Y";2;18
6962;"B3040-70B-C";2;18
6963;"B3040-85B-K";2;18
6964;"B4040-110B-YOS";2;18
6965;"B4040-150B-KOS";2;18
6966;"B4040-85B-COS2";2;18
6967;"B4040-95B-MAOS2";2;18
6968;"B5170-220B";2;18
6969;"B5350-225B-OS";2;18
6970;"B5470-210B";2;18
6971;"B5470-305B";2;18
7065;"TRBUNIVHD-100B";2;18
7121;"TRBUNIVHD-1KG";2;18
7125;"T-B3380-KG";2;18
7185;"T-B3140-B";2;18
7186;"T-B3140-C";2;18
7187;"T-B3140-M";2;18
7188;"T-B3140-Y";2;18
7221;"B3170-50B-MAOS";2;18
7222;"B3170-55B-COS";2;18
7223;"B3170-60B-KOS";2;18
7224;"B3170-75B-YOS";2;18
7225;"B3170-1KG-MAOS";2;18
7226;"B3170-1KG-COS";2;18
7227;"B3170-1KG-KOS";2;18
7228;"B3170-1KG-YOS";2;18
7386;"B4570-110B-YOS";2;18
7387;"B4570-150B-KOS";2;18
7388;"B4570-160B-COS";2;18
7389;"B4570-165B-MAOS";2;18
7390;"B4570-185B-YOS";2;18
7391;"B4570-80B-KOS";2;18
7392;"B4570-95B-MAOS";2;18
7393;"B4570-100B-COS";2;18
8255;"B1240-200B";2;18
8596;"X4500-785B-OS";2;18
8645;"T-B1050";2;18
6795;"T-CAN7750-B";3;18
6796;"T-CAN7750-C";3;18
6797;"T-CAN7750-M";3;18
6798;"T-CAN7750-Y";3;18
7002;"HP1515-40B-C";3;18
7003;"HP1515-40B-MA";3;18
7004;"HP1515-40B-Y";3;18
7005;"HP1515-55B-K";3;18
7019;"HP26-80B-COS2";3;18
7020;"HP26-80B-YOS2";3;18
7021;"HP26-90B-KOS2";3;18
7022;"HP26-90B-MAOS2";3;18
7113;"MPTCOL-1KG-COS";3;18
7114;"MPTCOL-1KG-KOS";3;18
7115;"MPTCOL-1KG-MAOS";3;18
7116;"MPTCOL-1KG-YOS";3;18
8237;"PC770-150B";3;18
8254;"TRH1505OS3-1KG";3;18
8256;"TRVX-250B-OS";3;18
8257;"TRHP25-180B-K";3;18
8258;"TRHP25-150B-C";3;18
8259;"TRHP25-150B-MA";3;18
8260;"TRHP25-150B-Y";3;18
6738;"T-DEL1160";16;18
6771;"T-DEL2355";16;18
6773;"T-DEL5200";16;18
6880;"CD3110-70B-COS";16;18
6881;"CD3110-70B-KOS";16;18
6882;"CD3110-70B-MAOS";16;18
6883;"CD3110-70B-YOS";16;18
6972;"D1320-30B-K";16;18
6973;"D2130-40B-C";16;18
6974;"D2130-40B-K";16;18
6975;"D2130-40B-MA";16;18
6976;"D2130-40B-Y";16;18
6977;"D2330-185B-OS";16;18
6978;"D2330-85B-OS";16;18
6979;"D3110-120B-YOS";16;18
6980;"D3110-130B-MAOS";16;18
6981;"D3110-150B-YOS";16;18
6982;"D3110-155B-MAOS";16;18
6983;"D3110-170B-COS";16;18
6984;"D3110-170B-KOS";16;18
6985;"D3110-210B-COS";16;18
7066;"TRD3010-50B-K";16;18
7067;"TRD3010-60B-C";16;18
7068;"TRD3010-60B-Y";16;18
7069;"TRD3010-65B-MA";16;18
7070;"TRD3100-115B-C";16;18
7071;"TRD3100-115B-K";16;18
7072;"TRD3100-125B-Y";16;18
7073;"TRD3100-140B-MA";16;18
7094;"TRLE332-195BOS2";16;18
7096;"TRLE450-215BOS2";16;18
7097;"TRLE450-345BOS2";16;18
7122;"TRSUNIV-1KG";16;18
8221;"TRD1815-145B-OS";16;18
8486;"CD3130-70B-COS";16;18
8487;"CD3130-70B-MAOS";16;18
8488;"CD3130-70B-KOS";16;18
8489;"CD3130-70B-YOS";16;18
8490;"D3130-190B-COS";16;18
8491;"D3130-195B-KOS";16;18
8492;"D3130-200B-MAOS";16;18
8493;"D3130-220B-YOS";16;18
8494;"D3130-70B-YOS";16;18
8495;"D3130-75B-COS";16;18
8496;"D3130-75B-MAOS";16;18
8497;"D3130-95B-KOS";16;18
8498;"D5330-400B-OS";16;18
8499;"D5330-750B-OS";16;18
8597;"D1760-40B-K";16;18
8598;"D1760-20B-C";16;18
8599;"D1760-25B-MA";16;18
8600;"D1760-25B-Y";16;18
8601;"D1660-27B-K";16;18
8602;"D1760-14B-C";16;18
8603;"D1760-16B-MA";16;18
8604;"D1760-16B-Y";16;18
8606;"D3760-195B-KOS";16;18
8607;"D3760-125B-COS";16;18
8608;"D3760-125B-MAOS";16;18
8609;"D3760-135B-YOS";16;18
8725;"D1320-30B-C";16;18
8726;"D1320-30B-MA";16;18
8727;"D1320-30B-Y";16;18
8761;"D3460-235BOS";16;18
8762;"LMS610-540BOS";16;18
8763;"LMX310-85BOS";16;18
7374;"EPS38-180B-KOS";4;18
