"id_product";"reference";"id_manufacturer";"id_category"
2247;"1110021007";5;3
2248;"1110031016";5;3
2249;"1110031017";5;3
2250;"1110031018";5;3
2251;"1110011088";5;3
2252;"1110031019";5;3
2253;"1110031020";5;3
2254;"1110031021";5;3
2255;"1110011081";5;3
2256;"1110021008";5;3
2257;"1110031022";5;3
2258;"1110031023";5;3
2259;"1110031024";5;3
2260;"1110031025";5;3
2261;"1110021009";5;3
2262;"1110031026";5;3
2263;"1110031027";5;3
2264;"1110031028";5;3
2265;"1110011082";5;3
2266;"1110011014";5;3
2267;"1110011015";5;3
2268;"1110011016";5;3
2269;"1110011017";5;3
2270;"1110011018";5;3
2271;"1110011019";5;3
2272;"1110011020";5;3
2273;"1110011043";5;3
2274;"1110011021";5;3
2275;"1110011022";5;3
2276;"1110011023";5;3
2277;"1110011071";5;3
2278;"1110011024";5;3
2279;"1110011025";5;3
2280;"1110011077";5;3
2281;"1110011026";5;3
2282;"1110011029";5;3
2283;"1110011075";5;3
2284;"1110011027";5;3
2285;"1110011030";5;3
2286;"1110011031";5;3
2287;"1110011032";5;3
2288;"1110011076";5;3
2289;"1110011033";5;3
2290;"1110011034";5;3
2291;"1110011042";5;3
2292;"1110011036";5;3
2293;"1110011035";5;3
2294;"1110011073";5;3
2295;"1110011037";5;3
2296;"1110011028";5;3
2297;"1110011074";5;3
2298;"1110011039";5;3
2299;"1110011040";5;3
2300;"1110011044";5;3
2301;"1110011083";5;3
2302;"1110011084";5;3
2303;"1110011085";5;3
2304;"1110011086";5;3
2305;"1110011087";5;3
2306;"1110011107";5;3
2307;"1110011108";5;3
2308;"1110011109";5;3
2309;"1110011110";5;3
2310;"1110011111";5;3
2311;"1110011065";5;3
2312;"1110011066";5;3
2313;"1110011067";5;3
2314;"1110011068";5;3
2315;"1110011069";5;3
2316;"1110011070";5;3
2317;"1110011079";5;3
2318;"1110011080";5;3
2319;"1110011059";5;3
2320;"1110011060";5;3
2321;"1110011072";5;3
2323;"1110011101";5;3
2324;"1110011102";5;3
2325;"1110011103";5;3
2326;"1110011104";5;3
2327;"1110011105";5;3
2328;"1110011113";5;3
2329;"1110011106";5;3
2330;"1110211000";4;3
2331;"1110211001";4;3
2332;"1110211002";4;3
2333;"1110211003";4;3
2334;"1110211004";4;3
2335;"1110211005";4;3
2336;"1110211006";4;3
2337;"1110211007";4;3
2338;"1110211008";4;3
2339;"1110211009";4;3
2340;"1110211010";4;3
2341;"1110211011";4;3
2342;"1110211012";4;3
2343;"1110211013";4;3
