"id_product";"reference";"id_manufacturer";"id_category"
6790;"C-CAN7750-B";3;20
6791;"C-CAN7750-C";3;20
6792;"C-CAN7750-M";3;20
6793;"C-CAN7750-Y";3;20
8245;"U3-2CHIP-DU10";3;20
8247;"U1-2CHIP-K10";3;20
8248;"U1-2CHIP-C10";3;20
8249;"U1-2CHIP-MA10";3;20
8250;"U1-2CHIP-Y10";3;20
8530;"HP85CHIP-II-10";3;20
8531;"HP45CHIP-II";3;20
6736;"C-DEL1160";16;20
6770;"C-DEL2355";16;20
6774;"C-DEL5200";16;20
8204;"D1815CHIP-10";16;20
8504;"D3130CP-C10";16;20
8505;"D3130CP-K10";16;20
8506;"D3130CP-MA10";16;20
8507;"D3130CP-Y10";16;20
8508;"D3130CP-LYY10";16;20
8509;"D3130CP-LYC10";16;20
8510;"D3130CP-LYMA10";16;20
8511;"D3130CP-LYK10";16;20
8512;"D3110CP-LYC10";16;20
8513;"D3110CP-LYMA10";16;20
8514;"D3110CP-LYY10";16;20
8515;"D3110CP-LYK10";16;20
8516;"D3110CP-K10";16;20
8517;"D3110CP-C10";16;20
8518;"D3110CP-MA10";16;20
8519;"D3110CP-Y10";16;20
8524;"D5330CP-EU10";16;20
8525;"D5330CP-LYEU10";16;20
8551;"D1250CP-K10";16;20
8552;"D1250CP-C10";16;20
8553;"D1250CP-MA10";16;20
8554;"D1250CP-Y10";16;20
8555;"D2230CP-3KEU";16;20
8556;"D3100CHIP-K";16;20
8557;"D3000CHIP-C";16;20
8558;"D3000CHIP-MA";16;20
8559;"D3000CHIP-Y";16;20
8560;"D3100CHIP-C";16;20
8561;"D3100CHIP-MA";16;20
8562;"D3100CHIP-Y";16;20
8563;"D3330CP-14KEU";16;20
8564;"D3330CP-7KEU";16;20
8565;"D1260CPB-EU10";16;20
8566;"D1660CP-KEU10";16;20
8567;"D1660CP-CEU10";16;20
8568;"D1660CP-MAEU10";16;20
8569;"D1660CP-YEU10";16;20
8570;"D3760CP-HYKEU10";16;20
8571;"D3760CP-HYCEU10";16;20
8572;"D3760CPHYMAEU10";16;20
8573;"D3760CP-HYYEU10";16;20
8728;"D1320CHIP-C10";16;20
8729;"D1320CHIP-MA10";16;20
8730;"D1320CHIP-Y10";16;20
8731;"D1320CHIP-K10";16;20
8764;"D3460CP-9KEU10";16;20
8765;"D3460CP-20KEU10";16;20
8766;"D2360CP-3KEU10";16;20
8282;"C-EPM200";4;20
8526;"EPS28CP-C10";4;20
8527;"EPS28CP-K10";4;20
8528;"EPS28CP-MA10";4;20
8529;"EPS28CP-Y10";4;20
8574;"EPS12CP-EU10";4;20
6922;"U17-3CHIP-10";5;20
6923;"U18-3CHIP10";5;20
6924;"U24CHIP-10";5;20
6925;"U25CHIP-10";5;20
6926;"U27-2CHIP-C10";5;20
6927;"U27-2CHIP-K10";5;20
6928;"U27-2CHIP-MA10";5;20
